Name,Age,Hometown,Boarded,Destination,Lifeboat,Body, NoClue
"Allen, Miss Elizabeth Walton",29,"St. Louis, Missouri, US",Southampton,"St. Louis, Missouri, US",2,
"Allison, Mr. Hudson Joshua Creighton",30,"Montreal, Quebec, Canada",Southampton,"Montreal, Quebec, Canada",,135MB
"and chauffeur, Mr. George Swane,[55]",19,"Montreal, Quebec, Canada",Southampton,"Montreal, Quebec, Canada",,294MB
"and cook, Miss Amelia Mary ""Mildred"" Brown[55]",18,"London, England, UK",Southampton,"Montreal, Quebec, Canada",11,
"Allison, Mrs. Bessie Waldo (née Daniels)",25,"Montreal, Quebec, Canada",Southampton,"Montreal, Quebec, Canada",,
"and maid, Miss Sarah Daniels",33,"Montreal, Quebec, Canada",Southampton,"Montreal, Quebec, Canada",8,
"Allison, Miss Helen Loraine",2,"Montreal, Quebec, Canada",Southampton,"Montreal, Quebec, Canada",,
"Allison, Master Hudson Trevor",11 mo.,"Montreal, Quebec, Canada",Southampton,"Montreal, Quebec, Canada",11,
"and nurse, Miss Alice Catherine Cleaver",22,"London, England, UK",Southampton,"Montreal, Quebec, Canada",11,
"Anderson, Mr. Harry",47,"New York City, New York, US",Southampton,"New York City, New York, US",3,
"Andrews, Miss Kornelia Theodosia",62,"Hudson, New York, US",Cherbourg,"Hudson, New York, US",10,
"Andrews, Mr. Thomas[56]",39,"Belfast, Ireland, UK",Belfast,New York City,,
"Appleton, Mrs. Charlotte Lane (née Lamson)",53,New York City,Southampton,New York City,2,
"Artagaveytia, Mr. Ramon",71,"Buenos Aires, Argentina",Cherbourg,New York City,,22MB
"Astor, Colonel John Jacob IV",47,New York City,Cherbourg,New York City,,124MB
"Astor, Mrs. Madeleine Talmage (née Force)[57][58]",18,New York City,Cherbourg,New York City,4,
"and maid, Miss Rosalie Bidois",46,New York City,Cherbourg,New York City,4,
"and nurse, Miss Caroline Louise Endres",39,New York City,Cherbourg,New York City,4,
"Aubart, Mrs. Léontine Pauline[59]",24,"Paris, France",Cherbourg,New York City,9,
"and maid, Miss Emma Sägesser",24,"Paris, France",Cherbourg,New York City,9,
"Barkworth, Mr. Algernon Henry Wilson",47,"Hessle, East Yorkshire, England, UK",Southampton,New York City,B,
"Baumann, Mr. John D.",60,New York City,Cherbourg,New York City,,
"Baxter, Mrs. Hélène (née de Lanaudière-Chaput)",50,"Montreal, Quebec, Canada",Cherbourg,"Montreal, Quebec, Canada",6,
"Baxter, Mr. Quigg Edmond",24,"Montreal, Quebec, Canada",Cherbourg,"Montreal, Quebec, Canada",,
"Beattie, Mr. Thomson",36,"Fergus, Ontario, Canada",Southampton,"Fergus, Ontario, Canada",A[60],331O
"Beckwith, Mr. Richard Leonard",37,New York City,Southampton,New York City,5,
"Beckwith, Mrs. Sallie (née Monypeny)",46,New York City,Southampton,New York City,5,
"Behr, Mr. Karl Howell",26,New York City,Cherbourg,New York City,5,
"Birnbaum, Mr. Jakob",24,"Antwerp, Belgium",Cherbourg,"San Francisco, California, US",,148MB
"Bishop, Mr. Dickinson H. ""Dick""",25,"Dowagiac, Michigan, US",Cherbourg,"Dowagiac, Michigan, US",7,
"Bishop, Mrs. Helen (née Walton)[58][61]",19,"Dowagiac, Michigan, US",Cherbourg,"Dowagiac, Michigan, US",7,
"Björnström-Steffanson, Mr. Mauritz Håkan",28,"Stockholm, Sweden",Southampton,"Washington, D.C., US",D,
"Blackwell, Mr. Stephen Weart",45,"Trenton, New Jersey, US",Southampton,"Trenton, New Jersey, US",,
"Blank, Mr. Henry",39,"Glen Ridge, New Jersey, US",Cherbourg,"Glen Ridge, New Jersey, US",7,
"Bonnell, Miss Elizabeth",61,"Youngstown, Ohio, US",Southampton,"Youngstown, Ohio, US",8,
"Bonnell, Miss Caroline",30,"Youngstown, Ohio, US",Southampton,"Youngstown, Ohio, US",8,
"Borebank, Mr. John James",42,"London, England, UK",Southampton,"Toronto, Ontario, Canada",,
"Bowerman, Miss Elsie Edith",22,"St. Leonards-on-Sea, East Sussex, England, UK",Southampton,New York City,6,
"Brady, Mr. John Bertram",41,"Pomeroy, Washington, US",Southampton,"Pomeroy, Washington, US",,
"Brandeis, Mr. Emil",48,"Omaha, Nebraska, US",Cherbourg,"Omaha, Nebraska, US",,208MB
"Brereton, Mr. George Andrew (alias George A. Brayton)",37,"Los Angeles, US",Southampton,"Los Angeles, California, US",9,
"Brewe, Dr. Arthur Jackson",45,"Philadelphia, Pennsylvania, US",Cherbourg,"Philadelphia, Pennsylvania, US",,
"Brown, Mrs. Caroline Lane (née Lamson)",59,"Belmont, Massachusetts, US",Southampton,"Belmont, Massachusetts, US",D,
"Brown, Mrs. Margaret (née Tobin)",44,"Denver, Colorado, US",Cherbourg,"Denver, Colorado, US",6,
"Bucknell, Mrs. Emma Eliza (née Ward)",59,"Philadelphia, Pennsylvania, US",Cherbourg,"Philadelphia, Pennsylvania, US",8,
"and maid, Miss Albina Bazzani",36,"Philadelphia, Pennsylvania, US",Cherbourg,"Philadelphia, Pennsylvania, US",8,
"Butt, Major Archibald Willingham",46,"Washington, D.C., US",Southampton,"Washington, D.C., US",,
"Calderhead, Mr. Edward Pennington",42,New York City,Southampton,New York City,5,
"Candee, Mrs. Helen Churchill (née Hungerford)",53,"Washington, D.C., US",Cherbourg,"Washington, D.C., US",6,
"Cardeza, Mrs. Charlotte Wardle (née Drake)",58,"Germantown, Pennsylvania, US",Cherbourg,"Germantown, Pennsylvania, US",3,
